########################################### ARQUIVO DE LOG DE TRATAMENTO DO RETORNO ###########################################
##  ARQUIVO COBST_IJPJ_02_030217P_MOV.TXT
##  Data 10/04/2017

00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000
